,Index,Article Type,Title,Authors,Publication Source,Publication Year,Citations,Importance Rate,Impact Factor,Article Link,BibTex,Synopsis,Cluster
398,399,1,A Context-Aware Recommender System Framework for IoT based Interactive Digital Signage in Urban Space,"Mengru Tu, Yi Chang, Yi-Tan Chen",International Conference on IoT in Urban Space,2016,19,1.996539792387543, ,https://www.semanticscholar.org/paper/027d85aa4ccf198696bb1ed4199f559c44284c99,"@['JournalArticle', 'Book']{Tu2016ACR,
 author = {Mengru Tu and Yi Chang and Yi-Tan Chen},
 booktitle = {International Conference on IoT in Urban Space},
 journal = {Proceedings of the Second International Conference on IoT in Urban Space},
 title = {A Context-Aware Recommender System Framework for IoT based Interactive Digital Signage in Urban Space},
 year = {2016}
}
","Digital Signage (DS) is one of the popular IoT technologies deployed in the urban space. DS can provide wayfinding and urban information to city dwellers and convey targeted messaging and advertising to people approaching the DS. With the rise of the online-to-offline (O2O) mobile commerce, DS also become an important marketing tool in urban retailing. However, most digital signage systems today lack interactive feature and context-aware recommendation engine. Few interactive digital signage systems available today are also insufficient in engaging anonymous viewers and also not considering temporal interaction between viewer and DS system. To overcome the above challenges, this paper proposes a context-aware recommender system framework with novel temporal interaction scheme for IoT based interactive digital signage deployed in urban space to engage anonymous viewer. The results of experiments indicate that the proposed framework improves the advertising effectiveness for DS system deployed in public in urban space.",8
399,400,4,"Recommender Systems: Issues, Challenges, and Research Opportunities","Irfan Ullah, S. Khusro, Z. Ali",-,2016,118,1.996539792387543, ,https://www.semanticscholar.org/paper/466910f1f43c7fe34440ad9f85fb87378305d22a,"@None{Khusro2016RecommenderSI,
 author = {S. Khusro and Z. Ali and Irfan Ullah},
 pages = {1179-1189},
 title = {Recommender Systems: Issues, Challenges, and Research Opportunities},
 year = {2016}
}
",No synopsis,19
400,401,1,Survey on Recommendation System,"Hetal Gaudani, Lipi Shah, P. Balani",-,2016,7,1.996539792387543, ,https://www.semanticscholar.org/paper/3f7d1cb0ae97e920cc351e53a74b221c8192119c,"@['Review']{Shah2016SurveyOR,
 author = {Lipi Shah and Hetal Gaudani and P. Balani},
 journal = {International Journal of Computer Applications},
 pages = {43-49},
 title = {Survey on Recommendation System},
 volume = {137},
 year = {2016}
}
","This paper describes the overview of recommendation system. The recommendation system is the sub-part of the data mining field. This is the era of the e-commerce business. Recommender systems are used to assists the enterprise to implement one-to-one marketing strategies. These type of strategies offer several advantages like establishing the customer loyalty, increase the probability of cross-selling, fulfilling the customer need by presenting the items or products of customer interest. The recommendation system (RS) is crucial in many applications on the web. The recommendation system is mainly classified into following three categories: content-based, collaborative-based and hybrid approaches. Different categories have its own advantages as well as disadvantages .This paper describes the different techniques in each category and the issues in each category.",11
401,402,1,Getting the Timing Right: Leveraging Category Inter-purchase Times to Improve Recommender Systems,"A. Ilic, Denis Vuckovac, Julia Wamsler, Martin Natter",ACM Conference on Recommender Systems,2016,3,1.996539792387543, ,https://www.semanticscholar.org/paper/c997815a8222da0423de9ada61922a0f3aa6b79d,"@['Book', 'JournalArticle']{Vuckovac2016GettingTT,
 author = {Denis Vuckovac and Julia Wamsler and A. Ilic and Martin Natter},
 booktitle = {ACM Conference on Recommender Systems},
 journal = {Proceedings of the 10th ACM Conference on Recommender Systems},
 title = {Getting the Timing Right: Leveraging Category Inter-purchase Times to Improve Recommender Systems},
 year = {2016}
}
","In the marketing domain, models of grocery buying behavior consider purchase incidence as a key dimension. However, in recommender systems, timing is often subsumed under contextual information and has received little attention yet. For this reason, we analyze the relation between the timing of a recommendation and its acceptance across different product categories. Our study is based on a real-world deployment of an in-store recommendation system in the brick-and-mortar grocery industry. We base our analysis on transaction data of more than 100,000 unique users and more than four million product recommendations. Our findings suggest that the success of a recommendation significantly depends on the inter-purchase time within the respective category. Different sensitivities across product categories further stress the importance of timing and its interplay with category characteristics within the context of recommender systems. The insights gained in this study enable retailers to improve scheduling recommendations and target promotions more efficiently.",19
402,403,4,"Group Recommender Systems: Aggregation, Satisfaction and Group Attributes",J. Masthoff,Recommender Systems Handbook,2015,139,1.996045477014335, ,https://www.semanticscholar.org/paper/9828b154c528189b6be40db9ac5b0e6be99205fe,"@None{Masthoff2015GroupRS,
 author = {J. Masthoff},
 booktitle = {Recommender Systems Handbook},
 pages = {743-776},
 title = {Group Recommender Systems: Aggregation, Satisfaction and Group Attributes},
 year = {2015}
}
",No synopsis,33
403,404,1,Source Factors in Recommender System Credibility Evaluation,"K. Yoo, M. Zanker, U. Gretzel",Recommender Systems Handbook,2015,8,1.996045477014335, ,https://www.semanticscholar.org/paper/dce92fb7bd3011c7cddbad741b335bc183b8b176,"@['Review']{Yoo2015SourceFI,
 author = {K. Yoo and U. Gretzel and M. Zanker},
 booktitle = {Recommender Systems Handbook},
 pages = {689-714},
 title = {Source Factors in Recommender System Credibility Evaluation},
 year = {2015}
}
",No synopsis,7
404,405,1,The Anatomy of Mobile Location-Based Recommender Systems,N. Lathia,Recommender Systems Handbook,2015,11,1.996045477014335, ,https://www.semanticscholar.org/paper/4aa05bac15c268fd42ebe017c4da021c65a0ea7b,"@['Review']{Lathia2015TheAO,
 author = {N. Lathia},
 booktitle = {Recommender Systems Handbook},
 pages = {493-510},
 title = {The Anatomy of Mobile Location-Based Recommender Systems},
 year = {2015}
}
",No synopsis,19
405,406,1,Literature Survey: Recommender Systems,J. A. Recio-García,-,2015,5,1.996045477014335, ,https://www.semanticscholar.org/paper/595d6f891d2c12123e69151548b52de5c71ae632,"@['Review']{Recio-García2015LiteratureSR,
 author = {J. A. Recio-García},
 title = {Literature Survey: Recommender Systems},
 year = {2015}
}
","Recommender systems are intelligent systems which make suggestions about user items. Recommender system has become an important part of any entertainment or marketing website. As the recommender system has become so important it is a hot topic for any researcher. First paper on Recommender System was published in year 1998 since then more than 300 papers have been published in many of different journals. In this paper I present a literature review of some papers on recommender system. Most of the research has been done on the hybrid recommender system, content based system has not been that extensively researched. Some new factors like trust, argumentation has been used to make recommender system more reliable. Even the concept of personalized recommender system, i.e. recommender system for a specific company or organization, has been used by many researchers. this paper provides a brief literature review and a brief conclusion.",19
406,407,4,Recommender Systems: Introduction and Challenges,"Bracha Shapira, F. Ricci, L. Rokach",Recommender Systems Handbook,2015,703,1.996045477014335, ,https://www.semanticscholar.org/paper/e767cb5a9784b43eeb83d52073e64784f279be71,"@None{Ricci2015RecommenderSI,
 author = {F. Ricci and L. Rokach and Bracha Shapira},
 booktitle = {Recommender Systems Handbook},
 pages = {1-34},
 title = {Recommender Systems: Introduction and Challenges},
 year = {2015}
}
",No synopsis,19
407,408,1,Exploring the Impact of Users' Preference Diversity on Recommender System Performance,Muh‐Chyun Tang,Interacción,2014,1,1.995551161641127, ,https://www.semanticscholar.org/paper/497bfd225b2d229bf0477e7e6a17533d12b6176f,"@['JournalArticle']{Tang2014ExploringTI,
 author = {Muh‐Chyun Tang},
 booktitle = {Interacción},
 pages = {681-689},
 title = {Exploring the Impact of Users' Preference Diversity on Recommender System Performance},
 year = {2014}
}
",No synopsis,7
408,409,1,Towards a Residential Micro-Location Based Product and Service Recommender System,"Markus Koehler, Stefanie Turber, T. Keller",International Workshop on Decision Making and Recommender Systems,2014,1,1.995551161641127, ,https://www.semanticscholar.org/paper/5a3962be09b137ebd2242a9fa0ee9ff21e04d696,"@['JournalArticle']{Keller2014TowardsAR,
 author = {T. Keller and Markus Koehler and Stefanie Turber},
 booktitle = {International Workshop on Decision Making and Recommender Systems},
 pages = {58-61},
 title = {Towards a Residential Micro-Location Based Product and Service Recommender System},
 year = {2014}
}
","Mobile smartphone applications can be used to provide users with suitable location-based product or service recommendations. Recent developments of micro-location based recommender systems take the customers’ in-store location into account and try to provoke immediate purchases decisions in close proximity to the actual product. Furthermore, an increasing number of mobile retailing apps allow to make purchases online using the phone itself as the point-of-sale (POS) and thus making the existence of a physical POS obsolete. However, such online retailing applications do not leverage the customers’ micro location. As people spend most of their free time at home we will implement a micro-location based recommender system in the Smart Home context. We suggest a novel approach of mapping rooms in a customers’ apartment to departments in a retail store, thereby transferring the idea of in-store marketing to in-home marketing. As a result we construct an improved recommender system for (1) micro-location based in-home marketing and (2) interest-based marketing based on customers’ domestic room preferences.",42
409,410,1,Complementary and Alternative Medicine for the Treatment of Central Nervous System Disorders,"C. Hsieh, G. Litscher, L. Lao, Yi-Wen Lin",Evidence-Based Complementary and Alternative Medicine,2014,4,1.995551161641127, ,https://www.semanticscholar.org/paper/e65863ba481b31fef7b6d9346ec996facdafa91d,"@['JournalArticle']{Hsieh2014ComplementaryAA,
 author = {C. Hsieh and L. Lao and Yi-Wen Lin and G. Litscher},
 booktitle = {Evidence-Based Complementary and Alternative Medicine},
 journal = {Evidence-based Complementary and Alternative Medicine : eCAM},
 title = {Complementary and Alternative Medicine for the Treatment of Central Nervous System Disorders},
 volume = {2014},
 year = {2014}
}
","Central nervous system (CNS) disorders are difficult and complicated and cause high costs for clinical therapy and basic research due to unknown and puzzling mechanisms. The treatment of CNS disorders needs systematic drugs that can pass through the brain barrier to target specific receptors. Until now, such drugs have severe side effects. Complementary and alternative medicine (CAM) has recently become highly recognized as therapeutic medicine and recommended by the World Health Organization (WHO). Clinical trials, drug development, and basic research of CAM are increased dramatically because of gradual development and knowledge. The current special issue is diversified with several novel and crucial articles concerning CAM.",54
410,411,1,Study on Directed Trust Graph Based Recommendation for E-commerce System,"Haidong Zhong, Shaozhong Zhang, Yanling Wang, Yonggang Shu",International Journal of Computers Communications & Control,2014,12,1.995551161641127, ,https://www.semanticscholar.org/paper/d068b9e80b16e75b024b5dea59b8a7e889d27b59,"@['JournalArticle']{Zhong2014StudyOD,
 author = {Haidong Zhong and Shaozhong Zhang and Yanling Wang and Yonggang Shu},
 booktitle = {International Journal of Computers Communications & Control},
 journal = {Int. J. Comput. Commun. Control},
 pages = {510-523},
 title = {Study on Directed Trust Graph Based Recommendation for E-commerce System},
 volume = {9},
 year = {2014}
}
","Automated recommender systems have played a more and more important role in marketing and ever increasingly booming e-commerce systems. They provide useful predictions personalized recommendations according to customers’ characteristics and a variety of large and complex product offerings. In many of these recommendation technologies C ollaborative Filtering (CF) has proven to be one of the most successful recommendation method, which has been widely used in many e-commerce systems. The success of CF recommendation depends mainly on locating similar neighbors to get recommendation items. However, many scholars have found that the process of finding similar neighbors often fail, due to some inherent weaknesses of CF based recommendation. In view of this, we propose a trust feedback recommendation algorithm based on directed trust graph (DTG), which is able to propagate trust relationship. In our approach, there is no need to compute similarity between users, but utilize the trust relation between them to conduct prediction calculation. Based on the analysis of human trust perception, we incorporate the process into our recommendation algorithm. Experimental evaluation on r eal life Epinions datasets shows that the effectiveness and practicability of our approach.",11
411,412,1,Evil Twins: Modeling Power Users in Attacks on Recommender Systems,"C. E. Seminario, David C. Wilson","User Modeling, Adaptation, and Personalization",2014,13,1.995551161641127, ,https://www.semanticscholar.org/paper/789593be27ee8f58f0cd40ce9bd1d771b77f2a01,"@['JournalArticle']{Wilson2014EvilTM,
 author = {David C. Wilson and C. E. Seminario},
 booktitle = {User Modeling, Adaptation, and Personalization},
 pages = {231-242},
 title = {Evil Twins: Modeling Power Users in Attacks on Recommender Systems},
 year = {2014}
}
",No synopsis,19
412,413,1,Two Algorithms Under Stochastic Gradient Descent Framework for Recommender Systems,"Tian-Hsiang Huang, V. Nikulin",PAKDD Workshops,2014,3,1.995551161641127, ,https://www.semanticscholar.org/paper/02de0c73b925a7eda7f036188592b4f137b4f0ac,"@['JournalArticle']{Huang2014TwoAU,
 author = {Tian-Hsiang Huang and V. Nikulin},
 booktitle = {PAKDD Workshops},
 pages = {219-230},
 title = {Two Algorithms Under Stochastic Gradient Descent Framework for Recommender Systems},
 year = {2014}
}
",No synopsis,19
413,414,1,Social recommender system tutorial,"Ido Guy, Werner Geyer",ACM Conference on Recommender Systems,2014,7,1.995551161641127, ,https://www.semanticscholar.org/paper/43b4871131b92b446dd40a4f24399abfe011abbb,"@['JournalArticle', 'Review']{Guy2014SocialRS,
 author = {Ido Guy and Werner Geyer},
 booktitle = {ACM Conference on Recommender Systems},
 pages = {403-404},
 title = {Social recommender system tutorial},
 year = {2014}
}
","In recent years, with the proliferation of the social web, users are increasingly exposed to social overload and the designers of social web sites are challenged to attract and retain their user basis. Social recommender systems are becoming an integral part of virtually any leading website, playing a key factor in its success: First, they aim to address the overload problem by helping users to find relevant content. Second, they can provide recommendations for content creation, increasing participation and user retention. In this tutorial, we will review the broad domain of social recommender systems, their application for the social web, the underlying techniques and methodologies; the data in use, recommended entities, and target population; evaluation techniques; and open issues and challenges.",31
414,415,1,Personalized Recommender System: A Personal Recommender System Online Social Networking Sites,"Hemant KumarKushwaha, J. Jeysree",-,2014,2,1.995551161641127, ,https://www.semanticscholar.org/paper/1a56068ab581ba039cd973d086732a81fcc057d4,"@['Review']{KumarKushwaha2014PersonalizedRS,
 author = {Hemant KumarKushwaha and J. Jeysree},
 journal = {International Journal of Computer Applications},
 pages = {1-6},
 title = {Personalized Recommender System: A Personal Recommender System Online Social Networking Sites},
 volume = {93},
 year = {2014}
}
","system for online marketing site plays a key role for the e-marketing or purchase made online by consumers. As there are many recommendations for a particular keyword, determining which recommendations have higher impact for a particular user is difficult. So it is useful to make a personal recommender based on the user preferences may helpful in solving such a problems and can deliver a good search result. Based on user actions (preferences, like) within a close group like any networking site a best personalized recommender can be designed. As the growing popularity of www every things going to b dependent on the virtual world, e-commerce and e- advertisement are the very important aspect of them, the growing popularity of www also leaded to virtualized one's friend. So this work is defining a approach in which the personal relationships between friends is calculated after that this calculation can be used to determine the good recommender for a particular user based on his/her friends reviews and the his/her preferences.",27
415,416,1,Recommender Systems in Telemedicine,"Maytiyanin Komkhao, W. Halang",IFAC Conference on Programmable Devices and Embedded Systems,2013,3,1.995056846267919, ,https://www.semanticscholar.org/paper/2ab40cfd3821fbfcea7a226de711ad9902312eae,"@['JournalArticle']{Komkhao2013RecommenderSI,
 author = {Maytiyanin Komkhao and W. Halang},
 booktitle = {IFAC Conference on Programmable Devices and Embedded Systems},
 pages = {28-33},
 title = {Recommender Systems in Telemedicine},
 year = {2013}
}
","Abstract As recommender systems have proven their usefulness in e-commerce by providing personalised recommendations, the approach is to be transferred to medicine. Particularly, the diagnoses made by physicians in rural hospitals of developing countries, in remote areas or in situations of uncertainty are to be complemented by machine recommendations drawing on large bases of expert knowledge to reduce the risk to patients. To this end, a database of patients' medical history and a cluster model is maintained centrally. The model is constructed incrementally by a combination of collaborative and knowledge-based filtering, in the course of which it permanently widens its knowledge base on a medical area given. To give a recommendation, the model's cluster matching the diagnostic pattern of a considered patient best is sought. The therapy actually applied after the recommendation and its subsequently observed consequences are fed back for model updating. Readily available personal digital accessories can be used for remote data entry and recommendation display as well as for communication with the central site. The approach is validated in the area of obstetrics and gynecology using data on cephalopelvic disproportion.",19
416,417,1,Product Recommender Systems using Multi-Model Ensemble Techniques,"Kyoung-jae Kim, Y. Lee",-,2013,5,1.995056846267919, ,https://www.semanticscholar.org/paper/cc173ec16d255827f78cabe588647621efff67e2,"@['Review']{Lee2013ProductRS,
 author = {Y. Lee and Kyoung-jae Kim},
 pages = {39-54},
 title = {Product Recommender Systems using Multi-Model Ensemble Techniques},
 volume = {19},
 year = {2013}
}
","Recent explosive increase of electronic commerce provides many advantageous purchase opportunities to customers. In this situation, customers who do not have enough knowledge about their purchases, may accept product recommendations. Product recommender systems automatically reflect user`s preference and provide recommendation list to the users. Thus, product recommender system in online shopping store has been known as one of the most popular tools for one-to-one marketing. However, recommender systems which do not properly reflect user`s preference cause user`s disappointment and waste of time. In this study, we propose a novel recommender system which uses data mining and multi-model ensemble techniques to enhance the recommendation performance through reflecting the precise user`s preference. The research data is collected from the real-world online shopping store, which deals products from famous art galleries and museums in Korea. The data initially contain 5759 transaction data, but finally remain 3167 transaction data after deletion of null data. In this study, we transform the categorical variables into dummy variables and exclude outlier data. The proposed model consists of two steps. The first step predicts customers who have high likelihood to purchase products in the online shopping store. In this step, we first use logistic regression, decision trees, and artificial neural networks to predict customers who have high likelihood to purchase products in each product group. We perform above data mining techniques using SAS E-Miner software. In this study, we partition datasets into two sets as modeling and validation sets for the logistic regression and decision trees. We also partition datasets into three sets as training, test, and validation sets for the artificial neural network model. The validation dataset is equal for the all experiments. Then we composite the results of each predictor using the multi-model ensemble techniques such as bagging and bumping. Bagging is the abbreviation of ""Bootstrap Aggregation"" and it composite outputs from several machine learning techniques for raising the performance and stability of prediction or classification. This technique is special form of the averaging method. Bumping is the abbreviation of ""Bootstrap Umbrella of Model Parameter,"" and it only considers the model which has the lowest error value. The results show that bumping outperforms bagging and the other predictors except for ""Poster"" product group. For the ""Poster"" product group, artificial neural network model performs better than the other models. In the second step, we use the market basket analysis to extract association rules for co-purchased products. We can extract thirty one association rules according to values of Lift, Support, and Confidence measure. We set the minimum transaction frequency to support associations as 5%, maximum number of items in an association as 4, and minimum confidence for rule generation as 10%. This study also excludes the extracted association rules below 1 of lift value. We finally get fifteen association rules by excluding duplicate rules. Among the fifteen association rules, eleven rules contain association between products in ""Office Supplies"" product group, one rules include the association between ""Office Supplies"" and ""Fashion"" product groups, and other three rules contain association between ""Office Supplies"" and ""Home Decoration"" product groups. Finally, the proposed product recommender systems provides list of recommendations to the proper customers. We test the usability of the proposed system by using prototype and real-world transaction and profile data. For this end, we construct the prototype system by using the ASP, Java Script and Microsoft Access. In addition, we survey about user satisfaction for the recommended product list from the proposed system and the randomly selected product lists. The participants for the survey are 173 persons who use MSN Messenger, Daum Caf, and P2P services. We evaluate the user satisfaction using five-scale Likert measure. This study also performs ""Paired Sample T-test"" for the results of the survey. The results show that the proposed model outperforms the random selection model with 1% statistical significance level. It means that the users satisfied the recommended product list significantly. The results also show that the proposed system may be useful in real-world online shopping store.",19
417,418,1,Evidence-based Medical Recommender Systems : A Review,"Maytiyanin Komkhao, S. Sodsee",-,2013,4,1.995056846267919, ,https://www.semanticscholar.org/paper/55f295e4e2963f976b727f72371602ff7a91fd4b,"@['Review']{Sodsee2013Evidence-basedMR,
 author = {S. Sodsee and Maytiyanin Komkhao},
 title = {Evidence-based Medical Recommender Systems : A Review},
 year = {2013}
}
","Recommender Systems are effective methods that have been developed successfully in e-commerce to provide personal recommendations based on user’s previous preferences. A recommender system assists users in a decision-making process to suggest interesting items from overwhelming flood of data available in the system. Suitably adapting the technology, recommender systems for medical purposes have been presented in some researches, which are applied in medical care or diagnosis called Medical Recommender Systems. They are intelligent methods that originally contain the medical knowledge from both historical data and example cases, as well as utilized for Telemedicine. Moreover, to maximize the effectiveness and quality of medical services, not only medical knowledge but also available external evidences named “Evidence-based Medicine” should be considered together. Therefore, this paper proposes Medical Recommender Systems combined with Evidence-based Medicine, which is called “Evidence-based Medical Recommender Systems”.",19
418,419,1,Recommender Systems Designed for Yelp,"Dr. Alexander Ihler, Idan Elmaleh, Irene Ng, Jocelyne Perez, Michael Schwinger, Rheanna Gallego, Ryan Shiroma, S. Forouzan, Zack Kloock",-,2013,1,1.995056846267919, ,https://www.semanticscholar.org/paper/2f9d467bac22010ee60f7fa3b380fd08b95b7b3a,"@['Review']{Elmaleh2013RecommenderSD,
 author = {Idan Elmaleh and Rheanna Gallego and Zack Kloock and Irene Ng and Jocelyne Perez and Michael Schwinger and Ryan Shiroma and Dr. Alexander Ihler and S. Forouzan},
 title = {Recommender Systems Designed for Yelp},
 year = {2013}
}
","Although people’s preferences are difficult to predict perfectly, providing reasonable predictions is highly useful, both economically and socially, in a broad spectrum of fields from marketing to demographics. Given such demand, developing and improving automated computational recommendation systems is a constant priority. The RecSys2013: Yelp Business Rating Prediction contest exemplifies one idea of such a recommender system – it requires an algorithm that will make high-quality predictions about a collection of specific user and business pairs. We use common existing recommender systems, such as nearest neighbor predictions, weighted averages, matrix factorization, and clustering, further customizing these traditional methodologies to include the distinct features unique to the Yelp data set, such as number of check-ins, user gender, and review counts. Our methods achieved an accuracy of 1.24039 RMSE, placing us at 51st of 401 at the time of submission on the Kaggle leaderboard.",19
419,420,1,Determining Pattern Similarity in a Medical Recommender System,"Jie Lu, Lichen Zhang, Maytiyanin Komkhao",International Conference on Data and Knowledge Engineering,2012,12,1.994562530894711, ,https://www.semanticscholar.org/paper/9979ba881f6c3c539c68e41dededa317b6608884,"@['JournalArticle']{Komkhao2012DeterminingPS,
 author = {Maytiyanin Komkhao and Jie Lu and Lichen Zhang},
 booktitle = {International Conference on Data and Knowledge Engineering},
 pages = {103-114},
 title = {Determining Pattern Similarity in a Medical Recommender System},
 year = {2012}
}
",No synopsis,7
420,421,1,Applying Personalized Recommendation for Social Network Marketing,"B. Minaei-Bidgoli, Leila Esmaeili, R. Nasiri",Int. J. Online Mark.,2012,11,1.994562530894711, ,https://www.semanticscholar.org/paper/3d2889c53ca32aa944ef2b7e57dcaaf9534bca2b,"@['JournalArticle']{Esmaeili2012ApplyingPR,
 author = {Leila Esmaeili and R. Nasiri and B. Minaei-Bidgoli},
 booktitle = {Int. J. Online Mark.},
 journal = {Int. J. Online Mark.},
 pages = {50-63},
 title = {Applying Personalized Recommendation for Social Network Marketing},
 volume = {2},
 year = {2012}
}
","The competition among manufacturers and service providing companies as well as the widespread presence of electronic processes has introduced new business models that need special e-Marketing. Social network marketing is one of the most recent types of marketing. Today, due to their flexibility and ease of use, social networks have fallen in the center of attention for users of various age groups. The variety of online social network groups, some of which are created with commercial goals, has made users uncertain and skeptical; on the other hand, in todayâ€™s competitive market, companies are seeking their potential and actual customers. To solve this problem, this paper introduced a group recommender system which, using data mining techniques and information theory, offers customized recommendations based on user preferences. Supposing that users in each group share similar characteristics, heterogeneous members are identified and removed. Unlike other methods, in special cases where the user does not have relationships with other members or when an activity history for the user does not exist, this method could yet offer recommendations.",31
421,422,1,Content based recommender system by using eye gaze data,"C. Pino, C. Spampinato, D. Giordano, I. Kavasidis",Eye Tracking Research & Application,2012,15,1.994562530894711, ,https://www.semanticscholar.org/paper/9d313edc251e22e948f19bd77482fb9f9e5b7b77,"@['JournalArticle', 'Book']{Giordano2012ContentBR,
 author = {D. Giordano and I. Kavasidis and C. Pino and C. Spampinato},
 booktitle = {Eye Tracking Research & Application},
 journal = {Proceedings of the Symposium on Eye Tracking Research and Applications},
 title = {Content based recommender system by using eye gaze data},
 year = {2012}
}
","In this work, we present a proactive content based recommender system that employs web document clustering performed by using eye gaze data. Generally, recommender systems are used in commercial applications, where information about the user's habits and interests are of crucial importance in order to plan marketing strategies, or in information retrieval systems in order to suggest similar resources a user is interested in. Commonly, these systems use explicit relevance feedback techniques (e.g. mouse or keyboard) to improve their performance and to recommend products. In contrast, the proposed system permits to capture user's interest by using implicit relevance feedback, based on data acquired by an eye tracker Tobii T60. The purpose of the system is to collect eye gaze data during web navigation and, by employing clustering techniques, to suggest web documents similar to those that the user, implicitly, expressed greater interest. Performance evaluation was carried out on 30 users and the results show that the proposed system enhanced navigation experience in about 73% of the cases.",7
422,423,1,The Research on Recommender for New Customers Using Collaborative Filtering and Social Network Analysis,"Han-Na Yang, I. Choi, Lee Jiwon, Shin Chang Hoon",-,2012,5,1.994562530894711, ,https://www.semanticscholar.org/paper/dcb8955fa5890bff34f4adc18ce186334382d3e2,"@['Review']{Hoon2012TheRO,
 author = {Shin Chang Hoon and Lee Jiwon and Han-Na Yang and I. Choi},
 pages = {19-42},
 title = {The Research on Recommender for New Customers Using Collaborative Filtering and Social Network Analysis},
 volume = {18},
 year = {2012}
}
","Consumer consumption patterns are shifting rapidly as buyers migrate from offline markets to e-commerce routes, such as shopping channels on TV and internet shopping malls. In the offline markets consumers go shopping, see the shopping items, and choose from them. Recently consumers tend towards buying at shopping sites free from time and place. However, as e-commerce markets continue to expand, customers are complaining that it is becoming a bigger hassle to shop online. In the online shopping, shoppers have very limited information on the products. The delivered products can be different from what they have wanted. This case results to purchase cancellation. Because these things happen frequently, they are likely to refer to the consumer reviews and companies should be concerned about consumer's voice. E-commerce is a very important marketing tool for suppliers. It can recommend products to customers and connect them directly with suppliers with just a click of a button. The recommender system is being studied in various ways. Some of the more prominent ones include recommendation based on best-seller and demographics, contents filtering, and collaborative filtering. However, these systems all share two weaknesses : they cannot recommend products to consumers on a personal level, and they cannot recommend products to new consumers with no buying history. To fix these problems, we can use the information which has been collected from the questionnaires about their demographics and preference ratings. But, consumers feel these questionnaires are a burden and are unlikely to provide correct information. This study investigates combining collaborative filtering with the centrality of social network analysis. This centrality measure provides the information to infer the preference of new consumers from the shopping history of existing and previous ones. While the past researches had focused on the existing consumers with similar shopping patterns, this study tried to improve the accuracy of recommendation with all shopping information, which included not only similar shopping patterns but also dissimilar ones. Data used in this study, Movie Lens' data, was made by Group Lens research Project Team at University of Minnesota to recommend movies with a collaborative filtering technique. This data was built from the questionnaires of 943 respondents which gave the information on the preference ratings on 1,684 movies. Total data of 100,000 was organized by time, with initial data of 50,000 being existing customers and the latter 50,000 being new customers. The proposed recommender system consists of three systems : [+] group recommender system, [-] group recommender system, and integrated recommender system. [+] group recommender system looks at customers with similar buying patterns as 'neighbors', whereas [-] group recommender system looks at customers with opposite buying patterns as 'contraries'. Integrated recommender system uses both of the aforementioned recommender systems to recommend movies that both recommender systems pick. The study of three systems allows us to find the most suitable recommender system that will optimize accuracy and customer satisfaction. Our analysis showed that integrated recommender system is the best solution among the three systems studied, followed by [-] group recommended system and [+] group recommender system. This result conforms to the intuition that the accuracy of recommendation can be improved using all the relevant information. We provided contour maps and graphs to easily compare the accuracy of each recommender system. Although we saw improvement on accuracy with the integrated recommender system, we must remember that this research is based on static data with no live customers. In other words, consumers did not see the movies actually recommended from the system. Also, this recommendation system may not work well with products other than movies. Thus, it is important to note that recommendation systems need particular calibration for specific product/customer types.",31
423,424,1,Analysing user behaviour in recommender systems,"K. Lakiotaki, N. Matsatsinis",International Journal of Electronic Business,2012,3,1.994562530894711, ,https://www.semanticscholar.org/paper/80499625075c96ca44c942b0ec9bd603ea5e1974,"@['JournalArticle']{Lakiotaki2012AnalysingUB,
 author = {K. Lakiotaki and N. Matsatsinis},
 booktitle = {International Journal of Electronic Business},
 journal = {Int. J. Electron. Bus.},
 pages = {1-19},
 title = {Analysing user behaviour in recommender systems},
 volume = {10},
 year = {2012}
}
","Nowadays, recommender systems are considered to be a valuable tool for internet marketing. Multi-criteria user modelling methodologies have been successfully applied to increase recommender systems accuracy. However, modelling user behaviour can be hard and often misleading when only the overall preference rate is considered. Various multi-criteria recommendation algorithms have been proposed that try to achieve high recommendation scores, but the gap from research ideas to real life applications remain large. Hence, studies concerning the understanding and interpretation of theoretical results together with direct application in real user data will improve and establish multi-criteria user profiling techniques as an important tool for recommender systems. In this direction, we analyse movie user profiles as a result of a multi-criteria recommendation methodology, applied to real user data, in order to reveal any hidden aspect of user behaviour that would eventually improve current system’s performance.",19
